ID,loc,title,bedroom,bathroom,parking_space,Predicted House Price
845,Kano,Penthouse,4,1,2,1592850.5
1924,Adamawa,Apartment,2,2,4,1456924.9
10718,Adamawa,Bungalow,2,7,2,1622477.0
12076,Lagos,Mansion,9,5,2,6149319.5
12254,Gombe,Semi-detached duplex,5,6,1,2674627.8
9950,Edo,Detached duplex,6,4,5,3574664.5
1548,Niger,Flat,9,3,4,2555830.5
526,Anambra,Flat,1,1,4,1207566.9
6776,Niger,Flat,1,5,1,1030759.1
1851,Adamawa,Bungalow,4,1,4,1876650.6
9188,Benue,Detached duplex,3,6,4,1866701.2
3382,Ogun,Bungalow,9,3,2,2869703.2
242,Kogi,Bungalow,9,2,4,2473208.8
6439,Taraba,Flat,6,3,1,2022084.5
1561,Kano,Semi-detached duplex,8,2,1,2036671.2
5339,Yobe,Bungalow,9,6,4,3418510.8
7387,Ogun,Townhouse,4,3,4,2156432.5
11576,Kano,Townhouse,3,3,6,1371396.6
5984,Benue,Mansion,9,4,3,4977117.0
4486,Niger,Detached duplex,4,1,3,1791853.6
2205,Yobe,Semi-detached duplex,1,2,3,2023479.2
3468,Zamfara,Townhouse,3,1,2,1300884.9
4226,Borno,Flat,9,1,5,2786852.0
2088,Anambra,Semi-detached duplex,6,2,2,2313468.0
2118,Enugu,Bungalow,8,7,2,2648660.8
8036,Gombe,Apartment,5,3,4,2258491.2
23,Ekiti,Bungalow,2,3,3,1228238.5
1898,Delta,Semi-detached duplex,3,2,4,1780490.1
6976,Osun,Mansion,1,1,2,2421741.5
1465,Oyo,Penthouse,6,3,2,3261039.0
2040,Zamfara,Townhouse,4,1,3,1428154.1
482,Bauchi,Flat,3,2,3,1709787.2
5122,Kano,Semi-detached duplex,4,3,5,1404999.4
3447,Enugu,Flat,1,1,4,1163524.0
12877,Oyo,Penthouse,3,2,3,2512223.2
3780,Kwara,Semi-detached duplex,2,3,6,1314688.9
1285,Katsina,Detached duplex,3,2,4,1829208.5
9200,Kwara,Apartment,7,6,1,1934046.1
921,Cross River,Mansion,2,2,4,3250333.2
3060,Ondo,Flat,8,6,2,2507113.2
1082,Niger,Cottage,2,2,3,1067935.6
71,Lagos,Flat,1,4,3,1443458.6
4464,Benue,Penthouse,1,7,2,1626363.9
4576,Akwa Ibom,Semi-detached duplex,8,7,4,3314573.2
897,Kwara,Detached duplex,9,1,2,2967632.8
1756,Kogi,Flat,1,1,5,1004860.4
8745,Delta,Penthouse,1,4,3,2162060.2
806,Niger,Terrace duplex,4,1,3,1556709.1
803,Benue,Terrace duplex,4,1,1,1471253.2
7613,Nasarawa,Semi-detached duplex,2,4,5,1480715.1
243,Ebonyi,Semi-detached duplex,4,1,2,1699602.1
8135,Kano,Bungalow,2,2,6,935771.25
1527,Plateau,Penthouse,4,1,3,2208773.2
2825,Kwara,Bungalow,2,7,4,1293710.4
666,Kano,Apartment,2,1,3,784501.06
12028,Adamawa,Semi-detached duplex,3,5,2,2003958.2
2308,Ondo,Detached duplex,3,4,1,1842015.8
11223,Taraba,Flat,3,6,6,1619610.9
1479,Kwara,Apartment,1,1,3,867638.44
2057,Katsina,Penthouse,5,1,2,2437895.0
2368,Kogi,Detached duplex,1,1,1,1149873.1
7638,Ondo,Bungalow,7,7,5,2425458.2
432,Akwa Ibom,Detached duplex,3,1,2,2146420.0
9800,Bauchi,Flat,3,5,5,1945517.4
2140,Kogi,Penthouse,8,4,5,3467496.8
837,Borno,Townhouse,5,6,6,2680416.5
3227,Kaduna,Detached duplex,3,7,6,2488364.5
12412,Yobe,Mansion,1,4,6,3951845.2
10267,Plateau,Terrace duplex,2,5,3,1347548.2
3850,Bauchi,Mansion,5,6,5,5297209.0
382,Adamawa,Mansion,7,5,5,5731763.0
1280,Kwara,Townhouse,6,6,3,2319149.8
2226,Adamawa,Mansion,9,2,3,5800024.5
4166,Ekiti,Penthouse,6,7,2,3423910.8
5208,Oyo,Flat,9,4,5,2936148.5
4513,Osun,Flat,4,4,2,1809802.1
10814,Cross River,Flat,9,3,4,3403774.2
3120,Niger,Detached duplex,7,6,6,2876207.5
7915,Nasarawa,Bungalow,5,3,6,1995332.8
3513,Nasarawa,Detached duplex,4,5,6,2264009.8
9041,Zamfara,Terrace duplex,4,2,1,1344407.2
561,Plateau,Apartment,4,2,3,1341704.6
11041,Anambra,Detached duplex,6,2,6,2831521.5
